Run,Timestamp,Throughput_μs,AverageRTT_μs
1,2025-06-02T19:39:51,1077,1072.37
2,2025-06-02T19:39:59,1076,1072.13
3,2025-06-02T19:40:08,1084,1079.18
4,2025-06-02T19:40:16,1086,1079.75
5,2025-06-02T19:40:24,1119,1110.88
6,2025-06-02T19:40:32,1087,1081.68
7,2025-06-02T19:40:40,1082,1077.62
8,2025-06-02T19:40:49,1084,1079.01
9,2025-06-02T19:40:57,1082,1078.22
10,2025-06-02T19:41:05,1079,1074.70
