Run,Timestamp,Metric
1,2025-06-02T19:22:32,client_container  | RTT = 1588μs
1,2025-06-02T19:22:32,client_container  | RTT = 1596μs
1,2025-06-02T19:22:32,client_container  | RTT = 1620μs
1,2025-06-02T19:22:32,client_container  | RTT = 1595μs
1,2025-06-02T19:22:32,client_container  | RTT = 1602μs
1,2025-06-02T19:22:32,client_container  | RTT = 1606μs
1,2025-06-02T19:22:32,client_container  | RTT = 1580μs
1,2025-06-02T19:22:32,client_container  | RTT = 1597μs
1,2025-06-02T19:22:32,client_container  | RTT = 1578μs
1,2025-06-02T19:22:32,client_container  | RTT = 1583μs
1,2025-06-02T19:22:32,client_container  | RTT = 1544μs
1,2025-06-02T19:22:32,client_container  | RTT = 1588μs
1,2025-06-02T19:22:32,client_container  | RTT = 1579μs
1,2025-06-02T19:22:32,client_container  | RTT = 1547μs
1,2025-06-02T19:22:32,client_container  | RTT = 1579μs
1,2025-06-02T19:22:32,client_container  | RTT = 1617μs
1,2025-06-02T19:22:32,client_container  | RTT = 1607μs
1,2025-06-02T19:22:32,client_container  | RTT = 1610μs
1,2025-06-02T19:22:32,client_container  | RTT = 1652μs
1,2025-06-02T19:22:32,client_container  | RTT = 1586μs
1,2025-06-02T19:22:32,client_container  | RTT = 1595μs
1,2025-06-02T19:22:32,client_container  | RTT = 1590μs
1,2025-06-02T19:22:32,client_container  | RTT = 1602μs
1,2025-06-02T19:22:32,client_container  | RTT = 1525μs
1,2025-06-02T19:22:32,client_container  | RTT = 1591μs
1,2025-06-02T19:22:32,client_container  | RTT = 1587μs
1,2025-06-02T19:22:32,client_container  | RTT = 2212μs
1,2025-06-02T19:22:32,client_container  | RTT = 1800μs
1,2025-06-02T19:22:32,client_container  | RTT = 1565μs
1,2025-06-02T19:22:32,client_container  | RTT = 1522μs
1,2025-06-02T19:22:32,client_container  | RTT = 1572μs
1,2025-06-02T19:22:32,client_container  | RTT = 1510μs
1,2025-06-02T19:22:32,client_container  | RTT = 1469μs
1,2025-06-02T19:22:32,client_container  | RTT = 1536μs
1,2025-06-02T19:22:32,client_container  | RTT = 1494μs
1,2025-06-02T19:22:32,client_container  | RTT = 1459μs
1,2025-06-02T19:22:32,client_container  | RTT = 1458μs
1,2025-06-02T19:22:32,client_container  | RTT = 1589μs
1,2025-06-02T19:22:32,client_container  | RTT = 1578μs
1,2025-06-02T19:22:32,client_container  | RTT = 1623μs
1,2025-06-02T19:22:32,client_container  | RTT = 1650μs
1,2025-06-02T19:22:32,client_container  | RTT = 1658μs
1,2025-06-02T19:22:32,client_container  | RTT = 1598μs
1,2025-06-02T19:22:32,client_container  | RTT = 1727μs
1,2025-06-02T19:22:32,client_container  | RTT = 1806μs
1,2025-06-02T19:22:32,client_container  | RTT = 1730μs
1,2025-06-02T19:22:32,client_container  | RTT = 1635μs
1,2025-06-02T19:22:32,client_container  | RTT = 1654μs
1,2025-06-02T19:22:32,client_container  | RTT = 1669μs
1,2025-06-02T19:22:32,client_container  | RTT = 1829μs
1,2025-06-02T19:22:32,client_container  | RTT = 1732μs
1,2025-06-02T19:22:32,client_container  | RTT = 1580μs
1,2025-06-02T19:22:32,client_container  | RTT = 1604μs
1,2025-06-02T19:22:32,client_container  | RTT = 1749μs
